epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1129.7,0.79996,1.02781,0.94023,0.88147,0.87673,0.95036,0.79754,0.66669,0.87803,0.94857,0.000379573,0.000379573,0.000379573
135,1138.82,0.71889,1.00771,0.97148,0.88147,0.87673,0.95036,0.79754,0.66669,0.87803,0.94857,0.000374074,0.000374074,0.000374074
136,1149.53,0.80946,0.94336,0.98603,0.88147,0.87673,0.95036,0.79754,0.66669,0.87803,0.94857,0.000368574,0.000368574,0.000368574
137,1157.97,0.71579,0.93019,0.98656,0.88147,0.87673,0.95036,0.79754,0.66669,0.87803,0.94857,0.000363075,0.000363075,0.000363075
138,1166.71,0.86499,0.9908,1.04143,0.90825,0.86819,0.96034,0.79712,0.662,0.87629,0.94237,0.000357575,0.000357575,0.000357575
139,1175.31,0.8352,0.99429,0.98713,0.90825,0.86819,0.96034,0.79712,0.662,0.87629,0.94237,0.000352076,0.000352076,0.000352076
140,1183.55,0.75147,0.90865,0.98632,0.90825,0.86819,0.96034,0.79712,0.662,0.87629,0.94237,0.000346576,0.000346576,0.000346576
141,1190.61,0.85201,1.02886,1.04746,0.90825,0.86819,0.96034,0.79712,0.662,0.87629,0.94237,0.000341077,0.000341077,0.000341077
142,1202.94,0.89159,0.99842,0.96286,0.93344,0.86584,0.96624,0.79147,0.66375,0.83985,0.93701,0.000335578,0.000335578,0.000335578
143,1211.64,0.73017,0.97721,1.00225,0.93344,0.86584,0.96624,0.79147,0.66375,0.83985,0.93701,0.000330078,0.000330078,0.000330078
144,1220.76,0.77666,0.99822,1.00018,0.93344,0.86584,0.96624,0.79147,0.66375,0.83985,0.93701,0.000324579,0.000324579,0.000324579
145,1227.99,0.64924,0.91857,0.98364,0.93344,0.86584,0.96624,0.79147,0.66375,0.83985,0.93701,0.000319079,0.000319079,0.000319079
146,1236.2,0.79475,0.92682,1.03247,0.90575,0.89841,0.96856,0.79604,0.6591,0.79695,0.93181,0.00031358,0.00031358,0.00031358
147,1244.07,0.66167,0.88927,0.97585,0.90575,0.89841,0.96856,0.79604,0.6591,0.79695,0.93181,0.00030808,0.00030808,0.00030808
148,1251.42,0.7276,0.8724,0.96442,0.90575,0.89841,0.96856,0.79604,0.6591,0.79695,0.93181,0.000302581,0.000302581,0.000302581
149,1260.55,0.58241,0.87511,0.98927,0.90575,0.89841,0.96856,0.79604,0.6591,0.79695,0.93181,0.000297081,0.000297081,0.000297081
150,1276.49,0.76667,0.91093,0.97652,0.94577,0.88317,0.96813,0.81528,0.63753,0.76647,0.92361,0.000291582,0.000291582,0.000291582
151,1285.76,0.67373,0.95622,0.94337,0.94577,0.88317,0.96813,0.81528,0.63753,0.76647,0.92361,0.000286083,0.000286083,0.000286083
152,1296.19,0.8186,1.06241,1.03385,0.94577,0.88317,0.96813,0.81528,0.63753,0.76647,0.92361,0.000280583,0.000280583,0.000280583
153,1307.53,0.62435,0.85195,0.93547,0.94577,0.88317,0.96813,0.81528,0.63753,0.76647,0.92361,0.000275084,0.000275084,0.000275084
154,1321.8,0.69093,0.83297,0.94222,0.89678,0.91269,0.96266,0.81827,0.61551,0.75481,0.91689,0.000269584,0.000269584,0.000269584
155,1333.31,0.80991,0.94947,0.98251,0.89678,0.91269,0.96266,0.81827,0.61551,0.75481,0.91689,0.000264085,0.000264085,0.000264085
156,1343.18,0.62848,0.78384,0.96725,0.89678,0.91269,0.96266,0.81827,0.61551,0.75481,0.91689,0.000258585,0.000258585,0.000258585
157,1352.96,0.76153,0.89249,0.96122,0.89678,0.91269,0.96266,0.81827,0.61551,0.75481,0.91689,0.000253086,0.000253086,0.000253086
158,1365.94,0.77901,0.90422,1.00443,0.87916,0.92593,0.96408,0.82354,0.60674,0.74345,0.91412,0.000247586,0.000247586,0.000247586
159,1378.58,0.75867,1.05204,0.9839,0.87916,0.92593,0.96408,0.82354,0.60674,0.74345,0.91412,0.000242087,0.000242087,0.000242087
160,1390.15,0.73267,0.81501,1.0213,0.87916,0.92593,0.96408,0.82354,0.60674,0.74345,0.91412,0.000236587,0.000236587,0.000236587
161,1404.5,0.65822,0.91858,0.97341,0.87916,0.92593,0.96408,0.82354,0.60674,0.74345,0.91412,0.000231088,0.000231088,0.000231088
162,1414.88,0.66076,0.89315,0.94783,0.8662,0.92365,0.96519,0.83317,0.5972,0.73974,0.91028,0.000225589,0.000225589,0.000225589
163,1424.33,0.73306,0.83822,1.00388,0.8662,0.92365,0.96519,0.83317,0.5972,0.73974,0.91028,0.000220089,0.000220089,0.000220089
164,1433.75,0.68569,0.89783,1.00835,0.8662,0.92365,0.96519,0.83317,0.5972,0.73974,0.91028,0.00021459,0.00021459,0.00021459
165,1443.01,0.67984,0.85819,1.01687,0.8662,0.92365,0.96519,0.83317,0.5972,0.73974,0.91028,0.00020909,0.00020909,0.00020909
166,1451.09,0.6613,0.9083,0.94377,0.87096,0.9308,0.96491,0.84225,0.59019,0.74136,0.9064,0.000203591,0.000203591,0.000203591
167,1459.84,0.67368,0.90549,0.98354,0.87096,0.9308,0.96491,0.84225,0.59019,0.74136,0.9064,0.000198091,0.000198091,0.000198091
168,1472.29,0.74963,0.90309,0.99238,0.87096,0.9308,0.96491,0.84225,0.59019,0.74136,0.9064,0.000192592,0.000192592,0.000192592
169,1487.54,0.72265,0.88591,0.98612,0.87096,0.9308,0.96491,0.84225,0.59019,0.74136,0.9064,0.000187092,0.000187092,0.000187092
170,1503.86,0.63888,0.84462,0.94008,0.89235,0.92519,0.96965,0.84679,0.59609,0.74011,0.90761,0.000181593,0.000181593,0.000181593
171,1515.98,0.74157,0.81657,1.0112,0.89235,0.92519,0.96965,0.84679,0.59609,0.74011,0.90761,0.000176094,0.000176094,0.000176094
172,1526.85,0.66178,0.86189,0.98529,0.89235,0.92519,0.96965,0.84679,0.59609,0.74011,0.90761,0.000170594,0.000170594,0.000170594
173,1543.41,0.78463,0.86141,0.96705,0.89235,0.92519,0.96965,0.84679,0.59609,0.74011,0.90761,0.000165095,0.000165095,0.000165095
174,1553.14,0.5759,0.77209,0.95089,0.89737,0.92289,0.96713,0.84049,0.59532,0.73465,0.9071,0.000159595,0.000159595,0.000159595
175,1562.46,0.65295,0.84788,0.9351,0.89737,0.92289,0.96713,0.84049,0.59532,0.73465,0.9071,0.000154096,0.000154096,0.000154096
176,1574.97,0.717,0.78566,0.98738,0.89737,0.92289,0.96713,0.84049,0.59532,0.73465,0.9071,0.000148596,0.000148596,0.000148596
177,1586.3,0.68655,0.85737,0.97743,0.89737,0.92289,0.96713,0.84049,0.59532,0.73465,0.9071,0.000143097,0.000143097,0.000143097
178,1605.71,0.60634,0.76907,0.95708,0.90264,0.91444,0.97105,0.84477,0.58526,0.72978,0.90412,0.000137597,0.000137597,0.000137597
179,1622.75,0.59478,0.78026,0.93769,0.90264,0.91444,0.97105,0.84477,0.58526,0.72978,0.90412,0.000132098,0.000132098,0.000132098
180,1637.29,0.67162,0.76189,0.90694,0.90264,0.91444,0.97105,0.84477,0.58526,0.72978,0.90412,0.000126598,0.000126598,0.000126598
